id,track_name,artist_ids,artist_names,album_id,album_name,release_date,duration,uri,playlist_offset
4imMkYr70c6O70ZIdC1jnn,In Pieces,5dMqfdmilb6colsGrmYYmo,Gone Cold,3z6cfznDsJvSCy3dJTOH2J,In Pieces,2022-12-20,204.974,spotify:track:4imMkYr70c6O70ZIdC1jnn,36
01dcFJijtHuC64QqdfOPfv,Take Me Away,"3FFOWj1skiTKQLjEE9N6Tf,6QQpkemu74N5oNtrUO4Vck","Grosso Gadgetto,Mélo*P",1koi87sXGkPdoyK2FEeDee,Evidence,2022-11-18,304.409,spotify:track:01dcFJijtHuC64QqdfOPfv,37
211I2EKh3MMFdJZcbho1mU,Rozkład,12iXISZeZrZcnlYzn7fwnZ,Hamulec,5iwyxAKdTfDnC0RokgtqL1,Rozkład,2022-12-16,284.0,spotify:track:211I2EKh3MMFdJZcbho1mU,38
0AkKqThN04P4PLEfhnbAyu,Utolsó háború,0i9Fpz1ZangB2X0vKHb8TG,Havária,3oikYXH2SDxlZ1nn7dIQG5,Utolsó háború,2023-01-01,244.148,spotify:track:0AkKqThN04P4PLEfhnbAyu,39
0l99TYfrVhJi4j0otftR2X,The Storm - Live,4Xe63wRxHbU9vQu4nNQf7F,Heretic Brazil,1kLfBnUlJmoYvWogaFQTZD,Live In U.K.,2022-12-03,396.5,spotify:track:0l99TYfrVhJi4j0otftR2X,40
4OocdnSlBCxt3UeUfKjaWv,Bathyskaph,6kbMZCY8IYQHq8FUf3h58f,Hexer,55IPxZqhl9XUOFDUbrRb9S,Bathyskaph,2022-12-16,377.962,spotify:track:4OocdnSlBCxt3UeUfKjaWv,41
0d2zt31H1AJzLjv9R2P8dv,Diamond in the Dirt,44MULvE8LeryRPA9QYHpPw,Iron Asparagus,2CiiXsBWGnHAf2vwDTjHsL,Diamond in the Dirt,2022-11-30,214.952,spotify:track:0d2zt31H1AJzLjv9R2P8dv,42
4aVqHq2Mc1y5GRvAKFe0LI,The Big Easy,5RNU8RlrgW4Kl2OH5Pckq4,John Diva & the Rockets of Love,1uSoueeTObB4dummz7l0LS,The Big Easy,2022-12-09,225.43,spotify:track:4aVqHq2Mc1y5GRvAKFe0LI,43
0u3zQ7qBY4YiFiopF9vrFI,Incognito,2uUyzaOSa9eGVBMabFsEAp,June 1974,2RJNvPoQaLIdDyd55xsAUd,Please Destroy Me,2023-01-03,232.625,spotify:track:0u3zQ7qBY4YiFiopF9vrFI,44
3LOBS0WfOzMFdliltnrbt7,Can I Tell You - 2022 Version,2hl0xAkS2AIRAu23TVMBG1,Kansas,4HsKI6BGrUOFSNae1wg3Kn,Can I Tell You (2022 Version),2022-12-09,212.25,spotify:track:3LOBS0WfOzMFdliltnrbt7,45
7oTlaaGB9m65ZiIgC7snbI,Respect the Wilderness - Cover Version,2QEyg67DpAomxX89uVfycD,Klaymore,4Z7NFBmpy3CKovtsZzAoBZ,Respect the Wilderness (Cover Version),2022-12-22,231.0,spotify:track:7oTlaaGB9m65ZiIgC7snbI,46
7rJ2AHETkogxAgoLUJLYNB,Necronym,1R9UhosNLuMHu2iGSuOqvK,Kossuth,3jzYmoZWL9NomBaVD1QjN9,Necronym,2022-12-21,262.909,spotify:track:7rJ2AHETkogxAgoLUJLYNB,47
0omrOj7nYOR1zAB2BLEu4J,For Thine Is The Kingdom Of The Flesh,6r20oMbTqzNU4q5054VeH2,Krvna,3H3Pb1Xic017fZ1nQehtQq,For Thine Is The Kingdom Of The Flesh,2022-12-10,468.668,spotify:track:0omrOj7nYOR1zAB2BLEu4J,48
4RETXxGZLpzQCyQJWecVkc,Caution Consent,4rKgkP7ml2E9h3hnvK1hxG,Letters Sent,5Ss8DsndRSQaYaCy0ZPECu,Caution Consent,2022-12-20,241.0,spotify:track:4RETXxGZLpzQCyQJWecVkc,49
4pc0qaWRIGf8Xh3RRiE5YI,Dear Lilith,6OL9gPy8ipfdwLCSaH5vrs,Lilith Rising,0YvPbzNXfuYPC1dtzo6jpC,Dear Lilith,2022-12-09,307.924,spotify:track:4pc0qaWRIGf8Xh3RRiE5YI,50
