id,track_name,artist_ids,artist_names,album_id,album_name,release_date,duration,uri,playlist_offset,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
0NsuUdm4N9Ih1xluu2cWp0,Geraldene,66lH4jAE7pqPlOlzUKbwA0,Miranda Lambert,69z5d2iu6PdaRZWvx8YVUl,Palomino,2022-04-29,181.693,spotify:track:0NsuUdm4N9Ih1xluu2cWp0,2532,0.122,0.691,0.873,0.000167,0.107,-6.002,0.0393,92.987,0.916
79EKTu6NgbLajmWidBFXsX,Pana-vision,6styCzc1Ej4NxISL0LiigM,The Smile,2nY3S3txTISRUIh0hdaMbZ,Pana-vision,2022-04-03,248.218,spotify:track:79EKTu6NgbLajmWidBFXsX,2533,0.737,0.383,0.431,0.418,0.0909,-10.626,0.0275,178.784,0.453
4M83eUEC2CBQPgZmfvvgOU,Kompführer,2GUMNEECnuDpxlExdWs7kK,Ohyda,6JT3MgFChkdPUctxZW9yh6,Pan Bóg Spełni Wszystkie Pragnienia Lewaków... I Dojdzie Do Katastrofy!,2022-06-24,121.149,spotify:track:4M83eUEC2CBQPgZmfvvgOU,2534,1.74e-05,0.199,0.851,0.0,0.391,-5.492,0.0425,168.872,0.371
67n20Htb0Pswg8SsKbleM6,Pandemonium,2S3xwpueZpPVUDTTv7Wefx,Gothminister,1HxpPXQVggdHcF4wwDoJIS,Pandemonium,2022-07-01,335.146,spotify:track:67n20Htb0Pswg8SsKbleM6,2535,1.58e-05,0.547,0.823,0.017,0.294,-8.014,0.0652,140.048,0.213
41enh722WYrH5i2rJTXCxP,Panic Song,7CddNoU6nKEW7UpcIlJF9n,Greet Death,6gnfEqQYoJqG0FqWYIHANY,Panic Song,2022-03-23,181.301,spotify:track:41enh722WYrH5i2rJTXCxP,2536,1.81e-06,0.318,0.912,0.779,0.289,-3.763,0.0628,138.079,0.2
24PJhwmZ30gjJiBA0DZd3Y,Panopticon,7xJ6tFnLODDMEhhlj6ftop,thoughtcrimes,4snsSLhyZHCA8NAg9HqRnD,Panopticon,2022-05-31,200.529,spotify:track:24PJhwmZ30gjJiBA0DZd3Y,2537,5.63e-06,0.237,0.974,0.922,0.321,-4.52,0.293,181.094,0.0733
0Numxn98frvXa9iZI7fz73,The Pantheon I,1EtultnvSVx3JPfVqmrnha,Embrace of Thorns,7dqR1slmlrEKo7DA24scpV,The Pantheon I,2022-03-06,361.813,spotify:track:0Numxn98frvXa9iZI7fz73,2538,6.54e-06,0.237,0.949,0.514,0.293,-6.147,0.0615,125.632,0.173
2ps6CprkDRVeo9SWmoAc74,In Time,4fbXryRJOywx2Fpy6wxj3X,Green/Blue,4X1GaHhUEdQgzi4yol3hiD,Paper Thin,2022-06-10,172.493,spotify:track:2ps6CprkDRVeo9SWmoAc74,2539,0.00337,0.375,0.845,0.932,0.259,-5.606,0.0712,181.743,0.58
2BkWR2V5yo7NNyQvIU14h6,Paralytic Pit of Swallowed Graves,18Jx7U2VaokXyVgm98tdBL,Bog Body,4SxvOEYyOgeZHrA44FtTVx,Paralytic Pit of Swallowed Graves,2022-03-17,241.479,spotify:track:2BkWR2V5yo7NNyQvIU14h6,2540,0.000737,0.224,0.703,0.829,0.316,-12.809,0.0647,147.188,0.285
1XEax6jaw9LAQBwt5CbWPH,Paramecium,4cJkQsiJJMrkZkMGmmeACL,Noah23,5pP5bFjfU8YF5ng4OMWFOB,Paramecium,2022-04-23,161.017,spotify:track:1XEax6jaw9LAQBwt5CbWPH,2541,0.0254,0.642,0.63,2.34e-06,0.0864,-6.672,0.0663,130.013,0.0784
